word,count,handle,total_count,rank
forward,32,JustinTrudeau,42,76.0
forward,4,AndrewScheer,42,76.0
forward,2,MaximeBernier,42,76.0
forward,2,theJagmeetSingh,42,76.0
forward,2,ElizabethMay,42,76.0
world,18,JustinTrudeau,41,77.0
world,6,MaximeBernier,41,77.0
world,6,theJagmeetSingh,41,77.0
world,6,AndrewScheer,41,77.0
world,5,ElizabethMay,41,77.0
affordable,16,JustinTrudeau,41,78.0
affordable,12,theJagmeetSingh,41,78.0
affordable,9,AndrewScheer,41,78.0
affordable,2,MaximeBernier,41,78.0
affordable,2,ElizabethMay,41,78.0
working,18,JustinTrudeau,40,79.0
working,14,AndrewScheer,40,79.0
working,5,theJagmeetSingh,40,79.0
working,3,ElizabethMay,40,79.0
together,28,JustinTrudeau,40,80.0
together,8,theJagmeetSingh,40,80.0
together,3,AndrewScheer,40,80.0
together,1,MaximeBernier,40,80.0
clear,16,theJagmeetSingh,40,81.0
clear,8,AndrewScheer,40,81.0
clear,8,JustinTrudeau,40,81.0
clear,6,MaximeBernier,40,81.0
clear,2,ElizabethMay,40,81.0
taxes,15,JustinTrudeau,39,83.0
taxes,13,MaximeBernier,39,83.0
taxes,11,AndrewScheer,39,83.0
minister,29,AndrewScheer,39,84.0
minister,5,theJagmeetSingh,39,84.0
minister,3,MaximeBernier,39,84.0
minister,2,ElizabethMay,39,84.0
liberals,11,theJagmeetSingh,39,82.0
liberals,11,JustinTrudeau,39,82.0
liberals,9,MaximeBernier,39,82.0
liberals,7,ElizabethMay,39,82.0
liberals,1,AndrewScheer,39,82.0
made,12,theJagmeetSingh,38,86.0
made,10,JustinTrudeau,38,86.0
made,7,MaximeBernier,38,86.0
made,6,AndrewScheer,38,86.0
made,3,ElizabethMay,38,86.0
leadersdebate2019,36,JustinTrudeau,38,85.0
leadersdebate2019,1,ElizabethMay,38,85.0
leadersdebate2019,1,AndrewScheer,38,85.0
go,19,JustinTrudeau,38,87.0
go,11,theJagmeetSingh,38,87.0
go,4,ElizabethMay,38,87.0
go,2,MaximeBernier,38,87.0
go,2,AndrewScheer,38,87.0
would,14,MaximeBernier,36,91.0
would,7,theJagmeetSingh,36,91.0
would,7,ElizabethMay,36,91.0
would,5,AndrewScheer,36,91.0
would,3,JustinTrudeau,36,91.0
see,16,ElizabethMay,36,92.0
see,8,MaximeBernier,36,92.0
see,6,theJagmeetSingh,36,92.0
see,5,JustinTrudeau,36,92.0
see,1,AndrewScheer,36,92.0
real,15,JustinTrudeau,36,88.0
real,7,MaximeBernier,36,88.0
real,7,AndrewScheer,36,88.0
real,5,ElizabethMay,36,88.0
real,2,theJagmeetSingh,36,88.0
prime,28,AndrewScheer,36,90.0
prime,5,theJagmeetSingh,36,90.0
prime,2,MaximeBernier,36,90.0
prime,1,ElizabethMay,36,90.0
great,16,AndrewScheer,36,89.0
great,10,ElizabethMay,36,89.0
great,6,JustinTrudeau,36,89.0
great,3,MaximeBernier,36,89.0
great,1,theJagmeetSingh,36,89.0
right,13,JustinTrudeau,35,96.0
right,11,theJagmeetSingh,35,96.0
right,4,MaximeBernier,35,96.0
right,4,AndrewScheer,35,96.0
right,3,ElizabethMay,35,96.0
greens,35,ElizabethMay,35,94.0
care,21,theJagmeetSingh,35,95.0
care,7,JustinTrudeau,35,95.0
care,4,MaximeBernier,35,95.0
care,3,ElizabethMay,35,95.0
better,16,JustinTrudeau,35,93.0
better,10,theJagmeetSingh,35,93.0
better,5,MaximeBernier,35,93.0
better,2,ElizabethMay,35,93.0
better,2,AndrewScheer,35,93.0
vancouver,16,ElizabethMay,34,97.0
vancouver,8,theJagmeetSingh,34,97.0
vancouver,4,MaximeBernier,34,97.0
vancouver,4,AndrewScheer,34,97.0
vancouver,2,JustinTrudeau,34,97.0
take,12,AndrewScheer,33,101.0
take,9,JustinTrudeau,33,101.0
take,6,MaximeBernier,33,101.0
take,5,theJagmeetSingh,33,101.0
take,1,ElizabethMay,33,101.0
lower,17,MaximeBernier,33,100.0
lower,8,AndrewScheer,33,100.0
lower,5,JustinTrudeau,33,100.0
lower,3,ElizabethMay,33,100.0
jobs,16,JustinTrudeau,33,102.0
jobs,12,AndrewScheer,33,102.0
jobs,2,MaximeBernier,33,102.0
jobs,2,ElizabethMay,33,102.0
jobs,1,theJagmeetSingh,33,102.0
good,13,theJagmeetSingh,33,99.0
good,6,AndrewScheer,33,99.0
good,5,ElizabethMay,33,99.0
good,5,JustinTrudeau,33,99.0
good,4,MaximeBernier,33,99.0
canadas,19,AndrewScheer,33,98.0
canadas,5,MaximeBernier,33,98.0
canadas,5,JustinTrudeau,33,98.0
canadas,3,ElizabethMay,33,98.0
canadas,1,theJagmeetSingh,33,98.0
always,18,JustinTrudeau,33,103.0
always,6,theJagmeetSingh,33,103.0
always,4,ElizabethMay,33,103.0
always,3,AndrewScheer,33,103.0
always,2,MaximeBernier,33,103.0
universal,14,AndrewScheer,32,106.0
universal,13,theJagmeetSingh,32,106.0
universal,4,ElizabethMay,32,106.0
universal,1,JustinTrudeau,32,106.0
tonight,12,JustinTrudeau,32,105.0
tonight,9,theJagmeetSingh,32,105.0
tonight,7,AndrewScheer,32,105.0
tonight,4,ElizabethMay,32,105.0
making,14,JustinTrudeau,32,104.0
making,6,AndrewScheer,32,104.0
making,5,MaximeBernier,32,104.0
making,4,theJagmeetSingh,32,104.0
making,3,ElizabethMay,32,104.0
important,23,JustinTrudeau,32,107.0
important,6,AndrewScheer,32,107.0
important,2,MaximeBernier,32,107.0
important,1,theJagmeetSingh,32,107.0
yesterday,19,AndrewScheer,31,109.0
yesterday,5,JustinTrudeau,31,109.0
yesterday,4,ElizabethMay,31,109.0
yesterday,2,MaximeBernier,31,109.0
yesterday,1,theJagmeetSingh,31,109.0
ndp,16,ElizabethMay,31,110.0
ndp,11,theJagmeetSingh,31,110.0
ndp,3,AndrewScheer,31,110.0
ndp,1,MaximeBernier,31,110.0
community,16,AndrewScheer,31,108.0
community,7,theJagmeetSingh,31,108.0
community,5,JustinTrudeau,31,108.0
community,3,ElizabethMay,31,108.0
team,14,JustinTrudeau,30,112.0
team,9,AndrewScheer,30,112.0
team,4,MaximeBernier,30,112.0
team,2,ElizabethMay,30,112.0
team,1,theJagmeetSingh,30,112.0
parties,24,MaximeBernier,30,111.0
parties,5,ElizabethMay,30,111.0
parties,1,JustinTrudeau,30,111.0
getting,14,AndrewScheer,30,114.0
getting,5,theJagmeetSingh,30,114.0
getting,5,JustinTrudeau,30,114.0
getting,4,MaximeBernier,30,114.0
getting,2,ElizabethMay,30,114.0
fighting,10,theJagmeetSingh,30,116.0
fighting,10,JustinTrudeau,30,116.0
fighting,5,ElizabethMay,30,116.0
fighting,3,MaximeBernier,30,116.0
fighting,2,AndrewScheer,30,116.0
energy,15,AndrewScheer,30,113.0
energy,9,theJagmeetSingh,30,113.0
energy,3,JustinTrudeau,30,113.0
energy,2,ElizabethMay,30,113.0
energy,1,MaximeBernier,30,113.0
billion,15,JustinTrudeau,30,115.0
billion,6,theJagmeetSingh,30,115.0
billion,4,MaximeBernier,30,115.0
billion,3,ElizabethMay,30,115.0
billion,2,AndrewScheer,30,115.0
rally,12,ElizabethMay,29,120.0
rally,7,MaximeBernier,29,120.0
rally,5,JustinTrudeau,29,120.0
rally,3,AndrewScheer,29,120.0
rally,2,theJagmeetSingh,29,120.0
health,13,theJagmeetSingh,29,118.0
health,6,JustinTrudeau,29,118.0
health,5,MaximeBernier,29,118.0
health,3,AndrewScheer,29,118.0
health,2,ElizabethMay,29,118.0
economy,11,MaximeBernier,29,117.0
economy,7,JustinTrudeau,29,117.0
economy,5,AndrewScheer,29,117.0
economy,3,theJagmeetSingh,29,117.0
economy,3,ElizabethMay,29,117.0
debate,9,MaximeBernier,29,119.0
debate,8,AndrewScheer,29,119.0
debate,6,ElizabethMay,29,119.0
debate,4,JustinTrudeau,29,119.0
debate,2,theJagmeetSingh,29,119.0
ready,14,theJagmeetSingh,28,121.0
ready,7,AndrewScheer,28,121.0
ready,5,JustinTrudeau,28,121.0
ready,2,MaximeBernier,28,121.0
policies,20,MaximeBernier,28,122.0
policies,6,ElizabethMay,28,122.0
policies,2,JustinTrudeau,28,122.0
days,11,AndrewScheer,28,123.0
days,7,ElizabethMay,28,123.0
days,5,theJagmeetSingh,28,123.0
days,3,JustinTrudeau,28,123.0
days,2,MaximeBernier,28,123.0
cant,11,JustinTrudeau,28,125.0
cant,8,AndrewScheer,28,125.0
cant,5,theJagmeetSingh,28,125.0
cant,2,MaximeBernier,28,125.0
cant,2,ElizabethMay,28,125.0
candidate,13,AndrewScheer,28,124.0
candidate,7,MaximeBernier,28,124.0
candidate,4,ElizabethMay,28,124.0
candidate,3,theJagmeetSingh,28,124.0
candidate,1,JustinTrudeau,28,124.0
two,12,MaximeBernier,27,128.0
two,7,AndrewScheer,27,128.0
two,5,JustinTrudeau,27,128.0
two,2,ElizabethMay,27,128.0
two,1,theJagmeetSingh,27,128.0
stop,8,JustinTrudeau,27,133.0
stop,7,MaximeBernier,27,133.0
stop,5,AndrewScheer,27,133.0
stop,4,theJagmeetSingh,27,133.0
stop,3,ElizabethMay,27,133.0
incredible,14,theJagmeetSingh,27,132.0
incredible,7,JustinTrudeau,27,132.0
incredible,3,ElizabethMay,27,132.0
incredible,2,AndrewScheer,27,132.0
incredible,1,MaximeBernier,27,132.0
immigration,20,MaximeBernier,27,131.0
immigration,5,AndrewScheer,27,131.0
immigration,2,JustinTrudeau,27,131.0
hard,16,JustinTrudeau,27,127.0
hard,6,AndrewScheer,27,127.0
hard,3,ElizabethMay,27,127.0
hard,2,theJagmeetSingh,27,127.0
happy,11,JustinTrudeau,27,130.0
happy,9,ElizabethMay,27,130.0
happy,4,AndrewScheer,27,130.0
happy,2,MaximeBernier,27,130.0
happy,1,theJagmeetSingh,27,130.0
easier,11,AndrewScheer,27,129.0
easier,9,theJagmeetSingh,27,129.0
easier,6,JustinTrudeau,27,129.0
easier,1,MaximeBernier,27,129.0
candidates,14,MaximeBernier,27,134.0
candidates,5,ElizabethMay,27,134.0
candidates,5,AndrewScheer,27,134.0
candidates,2,JustinTrudeau,27,134.0
candidates,1,theJagmeetSingh,27,134.0
big,13,theJagmeetSingh,27,126.0
big,6,JustinTrudeau,27,126.0
big,5,ElizabethMay,27,126.0
big,2,MaximeBernier,27,126.0
big,1,AndrewScheer,27,126.0
voting,16,ElizabethMay,26,137.0
voting,4,theJagmeetSingh,26,137.0
voting,4,JustinTrudeau,26,137.0
voting,1,MaximeBernier,26,137.0
voting,1,AndrewScheer,26,137.0
read,16,JustinTrudeau,26,138.0
read,5,MaximeBernier,26,138.0
read,3,AndrewScheer,26,138.0
read,1,theJagmeetSingh,26,138.0
read,1,ElizabethMay,26,138.0
peoplespca,26,MaximeBernier,26,136.0
next,10,JustinTrudeau,26,139.0
next,6,ElizabethMay,26,139.0
next,5,MaximeBernier,26,139.0
next,3,AndrewScheer,26,139.0
next,2,theJagmeetSingh,26,139.0
also,9,theJagmeetSingh,26,135.0
also,8,ElizabethMay,26,135.0
also,6,MaximeBernier,26,135.0
also,2,JustinTrudeau,26,135.0
also,1,AndrewScheer,26,135.0
young,18,theJagmeetSingh,25,144.0
young,4,ElizabethMay,25,144.0
young,3,JustinTrudeau,25,144.0
part,14,JustinTrudeau,25,141.0
part,4,theJagmeetSingh,25,141.0
part,4,AndrewScheer,25,141.0
part,3,MaximeBernier,25,141.0
must,13,MaximeBernier,25,140.0
must,9,ElizabethMay,25,140.0
must,2,theJagmeetSingh,25,140.0
must,1,JustinTrudeau,25,140.0
gun,20,JustinTrudeau,25,142.0
gun,5,AndrewScheer,25,142.0
communities,12,JustinTrudeau,25,145.0
communities,9,AndrewScheer,25,145.0
communities,4,theJagmeetSingh,25,145.0
1,9,JustinTrudeau,25,143.0
1,8,MaximeBernier,25,143.0
1,5,AndrewScheer,25,143.0
1,2,ElizabethMay,25,143.0
1,1,theJagmeetSingh,25,143.0
